,10 Things I Hate About You,IN
,21,IN
,21 & Over,IN
,21 Jump Street,IN
,300,IN
,(500) Days of Summer,IN
,A Few Good Men/Jerry Maguire,IN
,Abraham Lincoln: Vampire Hunter,OUT
,Aladdin,IN
,The Amazing Spiderman,IN
,Anchorman: The Legend of Ron Burgundy,IN
,Avatar,IN
,The Avengers,IN
,Babe,IN
,Back to the Future,IN
,Back to the Future Part II,IN
,Back to the Future Part III,IN
,Bad News Bears,IN
,Batman Begins,IN
,Batman Returns,IN
,Beasts of the Southern Wild,IN
,Big Daddy,IN
,Billy Madison,IN
,Black Swan,IN
,Blazing Saddles,IN
,The Blind Side,IN
,Boondock Saints,IN
,The Bourne Identity,IN
,Brave,IN
,Breakfast at Tiffany's,IN
,The Breakfast Club,IN
,Bridesmaids,IN
,Bruce Almighty,OUT
,Caddyshack,IN
,The Campaign,IN
,Captain America,IN
,Cars,IN
,Casino Royale,IN
,Castaway,IN
,Catch Me If You Can,IN
,Clueless,IN
,Crash,IN
,Crazy Stupid Love/Horrible Bosses,IN
,The Dark Knight,IN
,The Dark Knight Rises,IN
,The Departed,IN
,Despicable Me,IN
,Die Another Day,IN
,Dirty Dancing,IN
,Donnie Darko,IN
,Dumb & Dumber,IN
,Easy A,IN
,Edward Scissorhands,IN
,Elf,IN
,Enchanted,IN
,Ferris Bueller's Day Off,IN
,Fight Club,IN
,Finding Nemo,IN
,Fireproof,IN
,Forrest Gump,IN
,Friends With Benefits,IN
,Frozen,IN
,Garden State,IN
,Ghostbusters,IN
,Gladiator,IN
,Glass House,IN
,Godfather,IN
,Goonies,IN
,Great Gatsby,IN
,The Grudge,IN
,Halloweentown I and II,IN
,Hairspray,IN
,The Hangover,IN
,Happy Gilmore,IN
,Harry Potter and the Chamber of Secrets,IN
,Harry potter and the Deathly Hallows: Part 1,IN
,Harry potter and the Deathly Hallows: Part 2,IN
,Harry Potter and the Goblet of Fire,IN
,Harry Potter and the Half-Blood Prince,IN
,Harry Potter and the Order of the Phoenix,IN
,Harry Potter and the Prisoner of Azkaban,IN
,Harry Potter and the Sorcerer's Stone,IN
,Heavyweights,IN
,Hercules,IN
,Hitch,IN
,Hocus Pocus,IN
,How High,IN
,How to Train Your Dragon,IN
,Hunger Games,IN
,I Am Legend,IN
,Inception,IN
,Incredibles,IN
,Independence Day,IN
,Indiana Jones and the Raiders of the Lost Ark,IN
,Inglourious Basterds,IN
,Into the Blue,IN
,Into the Wild,IN
,Iron Man ,IN
,Iron Man 2,IN
,Jaws,IN
,Jurassic Park,IN
,Just Married,IN
,King Kong,IN
,King's Speech,IN
,Kingdoms of Heaven,IN
,Law Abiding Citizen,IN
,Legally Blonde,IN
,Les Miserables,IN
,Life of Pi,IN
,Little Miss Sunshine,IN
,Live Free or Die Hard,IN
,Looper,IN
,Lord of the Rings The Fellowship of the Ring,IN
,Lord of the Rings The Return of the King,IN
,Lord of the Rings The Two Towers,IN
,Magic Mike,IN
,Major League,IN
,Mamma Mia,IN
,The Matrix,IN
,Matrix Reloaded,IN
,Matrix Revolutions,IN
,Mean Girls,IN
,Meet the Parents/Meet the Fockers,IN
,Milk,IN
,Minority Report,IN
,Miracle,IN
,Monsters University,IN
,Monty Python and the Holy Grail,IN
,Moonrise Kingdom,IN
,Mulan/Mulan II,IN
,Mummy/Mummy Returns,IN
,My Baby's Daddy,IN
,My Big Fat Greek Wedding,IN
,Nick and Norah's Infinite Playlist,IN
,Nights in Rodanthe,IN
,Notebook,IN
,Nowhere to Hide, IN
,October Sky,IN
,Office Space,IN
,Old School,IN
,Pan's Labyrinth,IN
,The Patriot,IN
,Perks of Being a Wallflower,IN
,Pirates of the Caribbean,IN
,Pitch Perfect,IN
,The Prestige,IN
,Pride & Prejudice,IN
,The Princess and the Frog,IN
,The Princess Bride,IN
,Prometheus,IN
,Pulp Fiction,IN
,Quantum of Solace,IN
,Rambo,IN
,Ratatouille,IN
,Remember the Titans,IN
,Reno 911: Miami The Movie,IN
,Road Home,IN
,Robin Hood,IN
,Rocky,IN
,The Sandlot,IN
,Saving Private Ryan,IN
,Saw II,IN
,Saw V,IN
,Scarface,IN
,Scream,IN
,Serenity,IN
,Shawshank Redemption,IN
,Sherlock Holmes,IN
,Silver Linings Playbook,IN
,Skyfall,IN
,Star Wars A New Hope,IN
,Star Wars Return of the Jedi,IN
,Star Wars Revenge of the Sith,IN
,Star Wars The Empire Strikes Back,IN
,Stardust,IN
,Step Brothers,IN
,Step Up: Revolution,IN
,Superbad,IN
,Talladega Nights,IN
,Ted,IN
,Temple Grandin,IN
,Terminator,IN
,Thor,IN
,Tommy Boy,IN
,Top Gun,IN
,Toy Story,IN
,Trainspotting,IN
,Transformers,IN
,Transformers Revenge of the Fallen,IN
,Underworld Revolution,IN
,Up,IN
,V for Vendetta,IN
,W,IN
,Waiting for Superman,IN
,Walk the Line,IN
,Walk to Remember/ Pay it Forward,IN
,Warrior,IN
,Wayne's World,IN
,Wedding Crashers,IN
,Wedding Singer,IN
,Welcome to Mooseport,IN
,What to Expect When You're Expecting,IN
,What's Your Number,IN
,When Harry Met Sally,OUT
,Willy Wonka and the Chocolate Factory,IN
,The Wizard of Oz,IN
,X-Men,IN
,Zoolander,IN
